Date,Workout Name,Exercise Name,Set Order,Weight,Weight Unit,Reps,Distance,Distance Unit,Seconds,Notes,Workout Notes
2022-04-03 22:16:00,"JN PPL","Seated Row (Cable)",1,32,kg,16,,,0,"Let shoulders come all the way forward.","Pull 2"
2022-04-03 22:16:00,"JN PPL","Seated Row (Cable)",2,32,kg,5,,,0,,
2022-04-03 22:16:00,"JN PPL","Seated Row (Cable)",3,39,kg,8,,,0,,
2022-04-03 22:16:00,"JN PPL","Seated Row (Cable)",4,39,kg,12,,,0,,
2022-04-03 22:16:00,"JN PPL","Pull Up",1,,,4,,,0,"1.wide
2. normal
3. reverse close",
2022-04-03 22:16:00,"JN PPL","Chin Up (Assisted)",1,25,kg,7,,,0,"",
2022-04-03 22:16:00,"JN PPL","Chin Up (Assisted)",2,25,kg,6,,,0,,
2022-04-03 22:16:00,"JN PPL","Face Pull (Cable)",1,18,kg,12,,,0,"down to up (slightly, not too much)
shoulders rotate out
pull towards forehead
thumbs facing you
knuckles facing up",
2022-04-03 22:16:00,"JN PPL","Face Pull (Cable)",2,23,kg,12,,,0,,
2022-04-03 22:16:00,"JN PPL","Face Pull (Cable)",3,27,kg,12,,,0,,
2022-04-03 22:16:00,"JN PPL","Shrug (Dumbbell)",1,7,kg,12,,,0,"",
2022-04-03 22:16:00,"JN PPL","Shrug (Dumbbell)",2,10,kg,12,,,0,,
2022-04-03 22:16:00,"JN PPL","Shrug (Dumbbell)",3,10,kg,12,,,0,,
2022-04-03 22:16:00,"JN PPL","Shrug (Dumbbell)",4,9,kg,20,,,0,,
2022-04-03 22:16:00,"JN PPL","Reverse Curl (Barbell)",1,15,kg,12,,,0,"",
2022-04-03 22:16:00,"JN PPL","Reverse Curl (Barbell)",2,15,kg,10,,,0,,
2022-04-03 22:16:00,"JN PPL","Reverse Curl (Barbell)",3,15,kg,12,,,0,,
2022-04-03 22:16:00,"JN PPL","Bicep Curl (Barbell)",1,15,kg,12,,,0,"",
2022-04-03 22:16:00,"JN PPL","Bicep Curl (Barbell)",2,15,kg,10,,,0,,
2022-04-03 22:16:00,"JN PPL","Bicep Curl (Barbell)",3,15,kg,10,,,0,,
2022-04-02 21:29:38,"JN PPL","Bench Press (Barbell)",1,20,kg,12,,,0,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat.","Push 1"
2022-04-02 21:29:38,"JN PPL","Bench Press (Barbell)",2,30,kg,8,,,0,,
2022-04-02 21:29:38,"JN PPL","Bench Press (Barbell)",3,40,kg,8,,,0,,
2022-04-02 21:29:38,"JN PPL","Bench Press (Barbell)",4,45,kg,8,,,0,,
2022-04-02 21:29:38,"JN PPL","Bench Press (Barbell)",5,45,kg,8,,,0,,
2022-04-02 21:29:38,"JN PPL","Bench Press (Barbell)",6,45,kg,8,,,0,,
2022-04-02 21:29:38,"JN PPL","Overhead Press (Barbell)",1,20,kg,12,,,0,"",
2022-04-02 21:29:38,"JN PPL","Overhead Press (Barbell)",2,20,kg,10,,,0,,
2022-04-02 21:29:38,"JN PPL","Overhead Press (Barbell)",3,20,kg,8,,,0,,
2022-04-02 21:29:38,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",1,14,kg,12,,,0,"",
2022-04-02 21:29:38,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",2,14,kg,12,,,0,,
2022-04-02 21:29:38,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",3,14,kg,12,,,0,,
2022-04-02 21:29:38,"JN PPL","Lateral Raise (Dumbbell)",1,4,kg,15,,,0,"",
2022-04-02 21:29:38,"JN PPL","Lateral Raise (Dumbbell)",2,5,kg,12,,,0,,
2022-04-02 21:29:38,"JN PPL","Lateral Raise (Dumbbell)",3,5,kg,10,,,0,,
2022-03-28 15:59:39,"JN PPL","Bench Press (Barbell)",1,20,kg,12,,,0,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat.","Push 1"
2022-03-28 15:59:39,"JN PPL","Bench Press (Barbell)",2,30,kg,8,,,0,,
2022-03-28 15:59:39,"JN PPL","Bench Press (Barbell)",3,40,kg,8,,,0,,
2022-03-28 15:59:39,"JN PPL","Bench Press (Barbell)",4,40,kg,8,,,0,,
2022-03-28 15:59:39,"JN PPL","Bench Press (Barbell)",5,40,kg,8,,,0,,
2022-03-28 15:59:39,"JN PPL","Bench Press (Barbell)",6,45,kg,8,,,0,,
2022-03-28 15:59:39,"JN PPL","Shoulder Press (Machine)",1,32,kg,12,,,0,"",
2022-03-28 15:59:39,"JN PPL","Shoulder Press (Machine)",2,32,kg,8,,,0,,
2022-03-28 15:59:39,"JN PPL","Shoulder Press (Machine)",3,23,kg,12,,,0,,
2022-03-28 15:59:39,"JN PPL","Chest Dip (Assisted)",1,,,5,,,0,"",
2022-03-28 15:59:39,"JN PPL","Chest Dip (Assisted)",2,,,5,,,0,,
2022-03-28 15:59:39,"JN PPL","Chest Dip (Assisted)",3,,,4,,,0,,
2022-03-28 15:59:39,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",1,14,kg,12,,,0,"",
2022-03-28 15:59:39,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",2,14,kg,12,,,0,,
2022-03-28 15:59:39,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",3,14,kg,12,,,0,,
2022-03-28 15:59:39,"JN PPL","Lateral Raise (Dumbbell)",1,5,kg,12,,,0,"",
2022-03-28 15:59:39,"JN PPL","Lateral Raise (Dumbbell)",2,5,kg,12,,,0,,
2022-03-28 15:59:39,"JN PPL","Lateral Raise (Dumbbell)",3,5,kg,12,,,0,,
2022-03-27 15:55:20,"JN PPL","Pull Up",1,,,6,,,0,"","Pull 1"
2022-03-27 15:55:20,"JN PPL","Pull Up",2,,,5,,,0,,
2022-03-27 15:55:20,"JN PPL","Pull Up",3,,,4,,,0,,
2022-03-27 15:55:20,"JN PPL","Pull Up",4,,,3,,,0,,
2022-03-27 15:55:20,"JN PPL","Pull Up",5,,,3,,,0,,
2022-03-27 15:55:20,"JN PPL","Seated Row (Cable)",1,32,kg,15,,,0,"",
2022-03-27 15:55:20,"JN PPL","Seated Row (Cable)",2,32,kg,12,,,0,,
2022-03-27 15:55:20,"JN PPL","Seated Row (Cable)",3,32,kg,13,,,0,,
2022-03-27 15:55:20,"JN PPL","Pullover (cable)",1,14,kg,12,,,0,"1 second up, 1 second down",
2022-03-27 15:55:20,"JN PPL","Pullover (cable)",2,18,kg,12,,,0,,
2022-03-27 15:55:20,"JN PPL","Pullover (cable)",3,14,kg,12,,,0,,
2022-03-27 15:55:20,"JN PPL","Reverse Fly (Machine)",1,32,kg,12,,,0,"",
2022-03-27 15:55:20,"JN PPL","Reverse Fly (Machine)",2,25,kg,12,,,0,,
2022-03-27 15:55:20,"JN PPL","Reverse Fly (Machine)",3,25,kg,12,,,0,,
2022-03-27 15:55:20,"JN PPL","Bicep Curl (Machine)",1,23,kg,12,,,0,"",
2022-03-27 15:55:20,"JN PPL","Bicep Curl (Machine)",2,23,kg,12,,,0,,
2022-03-27 15:55:20,"JN PPL","Bicep Curl (Machine)",3,18,kg,10,,,0,,
2022-03-26 14:43:19,"JN PPL","Bench Press (Barbell)",1,20,kg,12,,,0,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat.","Push 1"
2022-03-26 14:43:19,"JN PPL","Bench Press (Barbell)",2,30,kg,8,,,0,,
2022-03-26 14:43:19,"JN PPL","Bench Press (Barbell)",3,40,kg,8,,,0,,
2022-03-26 14:43:19,"JN PPL","Bench Press (Barbell)",4,45,kg,8,,,0,,
2022-03-26 14:43:19,"JN PPL","Bench Press (Barbell)",5,45,kg,8,,,0,,
2022-03-26 14:43:19,"JN PPL","Bench Press (Barbell)",6,45,kg,8,,,0,,
2022-03-26 14:43:19,"JN PPL","Overhead Press (Barbell)",1,20,kg,12,,,0,"",
2022-03-26 14:43:19,"JN PPL","Overhead Press (Barbell)",2,20,kg,10,,,0,,
2022-03-26 14:43:19,"JN PPL","Overhead Press (Barbell)",3,20,kg,10,,,0,,
2022-03-26 14:43:19,"JN PPL","Chest Dip (Assisted)",1,32,kg,5,,,0,"",
2022-03-26 14:43:19,"JN PPL","Chest Dip (Assisted)",2,32,kg,5,,,0,,
2022-03-26 14:43:19,"JN PPL","Chest Dip (Assisted)",3,32,kg,5,,,0,,
2022-03-26 14:43:19,"JN PPL","Skullcrusher (Barbell)",1,10,kg,12,,,0,"",
2022-03-26 14:43:19,"JN PPL","Skullcrusher (Barbell)",2,10,kg,15,,,0,,
2022-03-26 14:43:19,"JN PPL","Skullcrusher (Barbell)",3,10,kg,12,,,0,,
2022-03-26 14:43:19,"JN PPL","Lateral Raise (Dumbbell)",1,5,kg,12,,,0,"",
2022-03-26 14:43:19,"JN PPL","Lateral Raise (Dumbbell)",2,5,kg,12,,,0,,
2022-03-24 18:55:08,"JN PPL","Pull Up",1,,,6,,,0,"","Pull 1"
2022-03-24 18:55:08,"JN PPL","Pull Up",2,,,5,,,0,,
2022-03-24 18:55:08,"JN PPL","Pull Up",3,,,4,,,0,,
2022-03-24 18:55:08,"JN PPL","Pull Up",4,,,3,,,0,,
2022-03-24 18:55:08,"JN PPL","Pull Up",5,,,2,,,0,,
2022-03-24 18:55:08,"JN PPL","Pullover (cable)",1,14,kg,12,,,0,"1 second up, 1 second down",
2022-03-24 18:55:08,"JN PPL","Pullover (cable)",2,14,kg,12,,,0,,
2022-03-24 18:55:08,"JN PPL","Pullover (cable)",3,14,kg,12,,,0,,
2022-03-24 18:55:08,"JN PPL","Pullover (cable)",4,18,kg,10,,,0,,
2022-03-24 18:55:08,"JN PPL","Reverse Fly (Machine)",1,32,kg,12,,,0,"",
2022-03-24 18:55:08,"JN PPL","Reverse Fly (Machine)",2,32,kg,10,,,0,,
2022-03-24 18:55:08,"JN PPL","Reverse Fly (Machine)",3,32,kg,10,,,0,,
2022-03-21 15:45:29,"JN PPL","Shoulder Press (Machine)",1,23,kg,12,,,0,"","Push 2"
2022-03-21 15:45:29,"JN PPL","Shoulder Press (Machine)",2,23,kg,12,,,0,,
2022-03-21 15:45:29,"JN PPL","Shoulder Press (Machine)",3,23,kg,12,,,0,,
2022-03-21 15:45:29,"JN PPL","Bench Press (Barbell)",1,20,kg,12,,,0,"",
2022-03-21 15:45:29,"JN PPL","Bench Press (Barbell)",2,30,kg,8,,,0,,
2022-03-21 15:45:29,"JN PPL","Bench Press (Barbell)",3,40,kg,8,,,0,,
2022-03-21 15:45:29,"JN PPL","Bench Press (Barbell)",4,40,kg,8,,,0,,
2022-03-21 15:45:29,"JN PPL","Bench Press (Barbell)",5,40,kg,8,,,0,,
2022-03-21 15:45:29,"JN PPL","Bench Press (Barbell)",6,40,kg,8,,,0,,
2022-03-21 15:45:29,"JN PPL","Bench Press (Barbell)",7,40,kg,8,,,0,,
2022-03-21 15:45:29,"JN PPL","Lateral Raise (Dumbbell)",1,5,kg,12,,,0,"",
2022-03-21 15:45:29,"JN PPL","Lateral Raise (Dumbbell)",2,5,kg,12,,,0,,
2022-03-21 15:45:29,"JN PPL","Lateral Raise (Dumbbell)",3,5,kg,10,,,0,,
2022-03-21 15:45:29,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",1,14,kg,12,,,0,"overhead (not triceps pushdown!)",
2022-03-21 15:45:29,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",2,14,kg,12,,,0,,
2022-03-21 15:45:29,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",3,14,kg,8,,,0,,
2022-03-21 15:45:29,"JN PPL","Triceps Pushdown (Cable - Straight Bar)",4,9,kg,4,,,0,,
2022-03-21 15:45:29,"JN PPL","Cable Crossover",1,4.5,kg,12,,,0,"low to high",
2022-03-21 15:45:29,"JN PPL","Cable Crossover",2,4.5,kg,12,,,0,,
2022-03-21 15:45:29,"JN PPL","Cable Crossover",3,9,kg,10,,,0,,
2022-03-21 15:45:29,"JN PPL","Seated Di0p (machine)",1,32,kg,12,,,0,"",
2022-03-21 15:45:29,"JN PPL","Seated Di0p (machine)",2,41,kg,12,,,0,,
2022-03-21 15:45:29,"JN PPL","Seated Di0p (machine)",3,45,kg,15,,,0,,
2022-03-20 16:46:00,"JN PPL","Pull Up",1,,,5,,,0,"","Pull 1"
2022-03-20 16:46:00,"JN PPL","Pull Up",2,,,4,,,0,,
2022-03-20 16:46:00,"JN PPL","Pull Up",3,,,4,,,0,,
2022-03-20 16:46:00,"JN PPL","Pull Up",4,,,3,,,0,,
2022-03-20 16:46:00,"JN PPL","Pull Up",5,,,3,,,0,,
2022-03-20 16:46:00,"JN PPL","Pullover (cable)",1,14,kg,12,,,0,"1 second up, 1 second down",
2022-03-20 16:46:00,"JN PPL","Pullover (cable)",2,14,kg,12,,,0,,
2022-03-20 16:46:00,"JN PPL","Pullover (cable)",3,14,kg,12,,,0,,
2022-03-20 16:46:00,"JN PPL","Seated Row (Cable)",1,32,kg,15,,,0,"",
2022-03-20 16:46:00,"JN PPL","Seated Row (Cable)",2,32,kg,12,,,0,,
2022-03-20 16:46:00,"JN PPL","Seated Row (Cable)",3,32,kg,12,,,0,,
2022-03-20 16:46:00,"JN PPL","Face Pull (Cable)",1,10.2,kg,12,,,0,"",
2022-03-20 16:46:00,"JN PPL","Face Pull (Cable)",2,12.5,kg,12,,,0,,
2022-03-20 16:46:00,"JN PPL","Face Pull (Cable)",3,12.5,kg,15,,,0,,
2022-03-20 16:46:00,"JN PPL","Reverse Fly (Machine)",1,32,kg,10,,,0,"",
2022-03-20 16:46:00,"JN PPL","Reverse Fly (Machine)",2,25,kg,12,,,0,,
2022-03-20 16:46:00,"JN PPL","Reverse Fly (Machine)",3,25,kg,12,,,0,,
2022-03-20 16:46:00,"JN PPL","Bicep Curl (Machine)",1,23,kg,12,,,0,"",
2022-03-20 16:46:00,"JN PPL","Bicep Curl (Machine)",2,23,kg,12,,,0,,
2022-03-20 16:46:00,"JN PPL","Bicep Curl (Machine)",3,23,kg,6,,,0,,
2022-03-20 16:46:00,"JN PPL","Bicep Curl (Machine)",4,18,kg,6,,,0,,
2022-03-19 14:45:25,"JN PPL","Romanian Deadlift (Barbell)",1,30,kg,12,,,0,"","Legs 2"
2022-03-19 14:45:25,"JN PPL","Deadlift (Barbell)",1,50,kg,5,,,0,"",
2022-03-19 14:45:25,"JN PPL","Deadlift (Barbell)",2,50,kg,5,,,0,,
2022-03-19 14:45:25,"JN PPL","Deadlift (Barbell)",3,50,kg,6,,,0,,
2022-03-19 14:45:25,"JN PPL","Hack Squat",1,0,kg,12,,,0,"knees over toes",
2022-03-19 14:45:25,"JN PPL","Hack Squat",2,0,kg,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Hack Squat",3,0,kg,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Lying Leg Curl (Machine)",1,23,kg,12,,,0,"",
2022-03-19 14:45:25,"JN PPL","Lying Leg Curl (Machine)",2,27,kg,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Lying Leg Curl (Machine)",3,23,kg,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Back Extension",1,,,12,,,0,"",
2022-03-19 14:45:25,"JN PPL","Back Extension",2,5,kg,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Back Extension",3,5,kg,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Seated Calf Raise (Machine)",1,45,kg,12,,,0,"",
2022-03-19 14:45:25,"JN PPL","Seated Calf Raise (Machine)",2,45,kg,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Seated Calf Raise (Machine)",3,45,kg,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Knee Raise (Captain's Chair)",1,,,12,,,0,"",
2022-03-19 14:45:25,"JN PPL","Knee Raise (Captain's Chair)",2,,,12,,,0,,
2022-03-19 14:45:25,"JN PPL","Knee Raise (Captain's Chair)",3,,,12,,,0,,
2022-03-18 16:20:51,"JN PPL","Bench Press (Barbell)",1,20,kg,12,,,0,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat.","Push 1"
2022-03-18 16:20:51,"JN PPL","Bench Press (Barbell)",2,30,kg,12,,,0,,
2022-03-18 16:20:51,"JN PPL","Bench Press (Barbell)",3,40,kg,8,,,0,,
2022-03-18 16:20:51,"JN PPL","Bench Press (Barbell)",4,40,kg,8,,,0,,
2022-03-18 16:20:51,"JN PPL","Bench Press (Barbell)",5,40,kg,8,,,0,,
2022-03-18 16:20:51,"JN PPL","Bench Press (Barbell)",6,40,kg,8,,,0,,
2022-03-18 16:20:51,"JN PPL","Shoulder Press (Machine)",1,18,kg,12,,,0,"",
2022-03-18 16:20:51,"JN PPL","Shoulder Press (Machine)",2,18,kg,12,,,0,,
2022-03-18 16:20:51,"JN PPL","Shoulder Press (Machine)",3,23,kg,12,,,0,,
2022-03-18 16:20:51,"JN PPL","Chest Dip (Assisted)",1,,,5,,,0,"",
2022-03-18 16:20:51,"JN PPL","Chest Dip (Assisted)",2,,,5,,,0,,
2022-03-18 16:20:51,"JN PPL","Chest Dip (Assisted)",3,,,5,,,0,,
2022-03-18 16:20:51,"JN PPL","Triceps Extension",1,14,kg,12,,,0,"",
2022-03-18 16:20:51,"JN PPL","Triceps Extension",2,14,kg,10,,,0,,
2022-03-18 16:20:51,"JN PPL","Triceps Extension",3,9,kg,12,,,0,,
2022-03-18 16:20:51,"JN PPL","Lateral Raise (Dumbbell)",1,5,kg,12,,,0,"",
2022-03-18 16:20:51,"JN PPL","Lateral Raise (Dumbbell)",2,5,kg,12,,,0,,
2022-03-18 16:20:51,"JN PPL","Lateral Raise (Dumbbell)",3,5,kg,12,,,0,,
2022-03-17 15:19:54,"JN PPL","Squat (Barbell)",1,20,kg,8,,,0,"","Legs 1"
2022-03-17 15:19:54,"JN PPL","Squat (Barbell)",2,25,kg,8,,,0,,
2022-03-17 15:19:54,"JN PPL","Squat (Barbell)",3,30,kg,8,,,0,,
2022-03-17 15:19:54,"JN PPL","Squat (Barbell)",4,30,kg,8,,,0,,
2022-03-17 15:19:54,"JN PPL","Squat (Barbell)",5,30,kg,8,,,0,,
2022-03-17 15:19:54,"JN PPL","Leg Extension (Machine)",1,32,kg,12,,,0,"Set chair back and control the eccentric. ",
2022-03-17 15:19:54,"JN PPL","Leg Extension (Machine)",2,32,kg,12,,,0,,
2022-03-17 15:19:54,"JN PPL","Leg Extension (Machine)",3,39,kg,12,,,0,,
2022-03-17 15:19:54,"JN PPL","Lying Leg Curl (Machine)",1,23,kg,12,,,0,"",
2022-03-17 15:19:54,"JN PPL","Lying Leg Curl (Machine)",2,23,kg,12,,,0,,
2022-03-17 15:19:54,"JN PPL","Lying Leg Curl (Machine)",3,23,kg,12,,,0,,
2022-03-17 15:19:54,"JN PPL","Standing Calf Raise (Machine)",1,10,kg,15,,,0,"",
2022-03-17 15:19:54,"JN PPL","Standing Calf Raise (Machine)",2,10,kg,12,,,0,,
2022-03-17 15:19:54,"JN PPL","Standing Calf Raise (Machine)",3,10,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Pull Up",1,,,6,,,0,"","Pull 1"
2022-03-15 19:45:36,"JN PPL","Pull Up",2,,,5,,,0,,
2022-03-15 19:45:36,"JN PPL","Pull Up",3,,,4,,,0,,
2022-03-15 19:45:36,"JN PPL","Pull Up",4,,,3,,,0,,
2022-03-15 19:45:36,"JN PPL","Pull Up",5,,,2,,,0,,
2022-03-15 19:45:36,"JN PPL","Seated Row (Cable)",1,32,kg,12,,,0,"",
2022-03-15 19:45:36,"JN PPL","Seated Row (Cable)",2,32,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Seated Row (Cable)",3,32,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Pullover (cable)",1,14,kg,12,,,0,"1 second up, 1 second down",
2022-03-15 19:45:36,"JN PPL","Pullover (cable)",2,14,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Pullover (cable)",3,14,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Face Pull (Cable)",1,14,kg,12,,,0,"",
2022-03-15 19:45:36,"JN PPL","Face Pull (Cable)",2,14,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Face Pull (Cable)",3,14,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Face Pull (Cable)",4,14,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Reverse Fly (Machine)",1,25,kg,12,,,0,"",
2022-03-15 19:45:36,"JN PPL","Reverse Fly (Machine)",2,32,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Reverse Fly (Machine)",3,32,kg,12,,,0,,
2022-03-15 19:45:36,"JN PPL","Bicep Curl (Machine)",1,27,kg,12,,,0,"",
2022-03-15 19:45:36,"JN PPL","Bicep Curl (Machine)",2,23,kg,10,,,0,,
2022-03-15 19:45:36,"JN PPL","Bicep Curl (Machine)",3,18,kg,7,,,0,,
2022-03-13 12:32:27,"JN PPL","Pull Up",1,,,4,,,0,"","Pull 1"
2022-03-13 12:32:27,"JN PPL","Pull Up",2,,,4,,,0,,
2022-03-13 12:32:27,"JN PPL","Pull Up",3,,,4,,,0,,
2022-03-13 12:32:27,"JN PPL","Pull Up",4,,,3,,,0,,
2022-03-13 12:32:27,"JN PPL","Pull Up",5,,,3,,,0,,
2022-03-13 12:32:27,"JN PPL","Seated Row (Cable)",1,32,kg,12,,,0,"",
2022-03-13 12:32:27,"JN PPL","Seated Row (Cable)",2,32,kg,12,,,0,,
2022-03-13 12:32:27,"JN PPL","Seated Row (Cable)",3,32,kg,12,,,0,,
2022-03-13 12:32:27,"JN PPL","Pullover (cable)",1,14,kg,12,,,0,"1 second up, 1 second down",
2022-03-13 12:32:27,"JN PPL","Pullover (cable)",2,14,kg,12,,,0,,
2022-03-13 12:32:27,"JN PPL","Pullover (cable)",3,14,kg,12,,,0,,
2022-03-13 12:32:27,"JN PPL","Pullover (cable)",4,14,kg,10,,,0,,
2022-03-13 12:32:27,"JN PPL","Face Pull (Cable)",1,9,kg,12,,,0,"",
2022-03-13 12:32:27,"JN PPL","Face Pull (Cable)",2,9,kg,12,,,0,,
2022-03-13 12:32:27,"JN PPL","Face Pull (Cable)",3,14,kg,12,,,0,,
2022-03-13 12:32:27,"JN PPL","Reverse Fly (Machine)",1,25,kg,12,,,0,"",
2022-03-13 12:32:27,"JN PPL","Reverse Fly (Machine)",2,25,kg,11,,,0,,
2022-03-13 12:32:27,"JN PPL","Reverse Fly (Machine)",3,18,kg,12,,,0,,
2022-03-12 11:01:27,"JN PPL","Bench Press (Barbell)",1,20,kg,12,,,0,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat.","Push 1"
2022-03-12 11:01:27,"JN PPL","Bench Press (Barbell)",2,30,kg,8,,,0,,
2022-03-12 11:01:27,"JN PPL","Bench Press (Barbell)",3,40,kg,8,,,0,,
2022-03-12 11:01:27,"JN PPL","Bench Press (Barbell)",4,40,kg,8,,,0,,
2022-03-12 11:01:27,"JN PPL","Bench Press (Barbell)",5,45,kg,8,,,0,,
2022-03-12 11:01:27,"JN PPL","Overhead Press (Barbell)",1,20,kg,10,,,0,"",
2022-03-12 11:01:27,"JN PPL","Overhead Press (Barbell)",2,15,kg,10,,,0,,
2022-03-12 11:01:27,"JN PPL","Overhead Press (Barbell)",3,20,kg,10,,,0,,
2022-03-12 11:01:27,"JN PPL","Chest Dip (Assisted)",1,,,5,,,0,"",
2022-03-12 11:01:27,"JN PPL","Chest Dip (Assisted)",2,,,5,,,0,,
2022-03-12 11:01:27,"JN PPL","Chest Dip (Assisted)",3,,,8,,,0,,
2022-03-12 11:01:27,"JN PPL","Lateral Raise (Cable)",1,1.5,kg,12,,,0,"",
2022-03-12 11:01:27,"JN PPL","Lateral Raise (Cable)",2,1.5,kg,12,,,0,,
2022-03-12 11:01:27,"JN PPL","Lateral Raise (Cable)",3,1.5,kg,12,,,0,,
2022-03-12 11:01:27,"JN PPL","Triceps Extension",1,12.5,kg,12,,,0,"",
2022-03-12 11:01:27,"JN PPL","Triceps Extension",2,10.2,kg,12,,,0,,
2022-03-12 11:01:27,"JN PPL","Triceps Extension",3,10.2,kg,13,,,0,,
2022-03-12 11:01:27,"JN PPL","Chest Fly",1,45,kg,12,,,0,"",
2022-03-12 11:01:27,"JN PPL","Chest Fly",2,39,kg,12,,,0,,
2022-03-12 11:01:27,"JN PPL","Chest Fly",3,39,kg,12,,,0,,
2022-03-09 16:01:01,"JN PPL","Leg Press",1,0,kg,12,,,0,"","Legs 1"
2022-03-09 16:01:01,"JN PPL","Leg Press",2,0,kg,12,,,0,,
2022-03-09 16:01:01,"JN PPL","Leg Press",3,0,kg,15,,,0,,
2022-03-09 16:01:01,"JN PPL","Leg Extension (Machine)",1,32,kg,12,,,0,"Set chair back and control the eccentric. ",
2022-03-09 16:01:01,"JN PPL","Leg Extension (Machine)",2,32,kg,15,,,0,,
2022-03-09 16:01:01,"JN PPL","Leg Extension (Machine)",3,32,kg,18,,,0,,
2022-03-09 16:01:01,"JN PPL","Squat (Barbell)",1,20,kg,8,,,0,"",
2022-03-09 16:01:01,"JN PPL","Squat (Barbell)",2,20,kg,8,,,0,,
2022-03-09 16:01:01,"JN PPL","Squat (Barbell)",3,20,kg,8,,,0,,
2022-03-09 16:01:01,"JN PPL","Seated Leg Curl (Machine)",1,39,kg,12,,,0,"",
2022-03-09 16:01:01,"JN PPL","Seated Leg Curl (Machine)",2,45,kg,12,,,0,,
2022-03-09 16:01:01,"JN PPL","Seated Leg Curl (Machine)",3,52,kg,12,,,0,,
2022-03-09 16:01:01,"JN PPL","Standing Calf Raise (Machine)",1,10,kg,12,,,0,"",
2022-03-09 16:01:01,"JN PPL","Standing Calf Raise (Machine)",2,10,kg,12,,,0,,
2022-03-09 16:01:01,"JN PPL","Standing Calf Raise (Machine)",3,10,kg,15,,,0,,
2022-03-07 15:52:13,"JN PPL","Shoulder Press (Machine)",1,18,kg,12,,,0,"","Push 1"
2022-03-07 15:52:13,"JN PPL","Shoulder Press (Machine)",2,18,kg,12,,,0,,
2022-03-07 15:52:13,"JN PPL","Shoulder Press (Machine)",3,23,kg,15,,,0,,
2022-03-07 15:52:13,"JN PPL","Bench Press (Barbell)",1,20,kg,12,,,0,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat.",
2022-03-07 15:52:13,"JN PPL","Bench Press (Barbell)",2,30,kg,8,,,0,,
2022-03-07 15:52:13,"JN PPL","Bench Press (Barbell)",3,40,kg,8,,,0,,
2022-03-07 15:52:13,"JN PPL","Bench Press (Barbell)",4,40,kg,8,,,0,,
2022-03-07 15:52:13,"JN PPL","Bench Press (Barbell)",5,40,kg,8,,,0,,
2022-03-07 15:52:13,"JN PPL","Chest Dip (Assisted)",1,,,5,,,0,"",
2022-03-07 15:52:13,"JN PPL","Chest Dip (Assisted)",2,,,4,,,0,,
2022-03-07 15:52:13,"JN PPL","Chest Dip (Assisted)",3,,,4,,,0,,
2022-03-07 15:52:13,"JN PPL","Lateral Raise (Cable)",1,4.5,kg,8,,,0,"",
2022-03-07 15:52:13,"JN PPL","Lateral Raise (Cable)",2,1.5,kg,12,,,0,,
2022-03-07 15:52:13,"JN PPL","Lateral Raise (Cable)",3,1.5,kg,10,,,0,,
2022-03-07 15:52:13,"JN PPL","Triceps Extension",1,9,kg,12,,,0,"",
2022-03-07 15:52:13,"JN PPL","Triceps Extension",2,14,kg,10,,,0,,
